osm_id,name,type,wkt
3371584287,"G1/123/A-140 Z","yes","POINT(15.98671 50.58805)"
3371584288,"G1/124/D1 Z","yes","POINT(15.987387 50.585183)"
3371584289,"G1/125/A-140 Z","yes","POINT(15.98965 50.5863)"
3371584290,"G1/126/A-140 Z","yes","POINT(15.992313 50.58586)"
3371584291,"G1/127/D1","yes","POINT(15.992873 50.585467)"
3371584292,"G1/128/D2","yes","POINT(15.997543 50.585247)"
3371584293,"G1/129/D1","yes","POINT(15.998327 50.585147)"
3371584294,"G1/130/C2","yes","POINT(16.003832 50.581568)"
3371584295,"G1/131/A-200","yes","POINT(16.004768 50.58383)"
3371584296,"G1/132/A-160 Z","yes","POINT(16.00555 50.58257)"
3371584297,"G1/133/A-160","yes","POINT(16.006797 50.581603)"
3371584298,"G1/134/A-140","yes","POINT(16.007953 50.580823)"
3371584299,"G1/135/A-220 Z","yes","POINT(16.011583 50.57903)"
3371584300,"G1/284/A-140","yes","POINT(15.954073 50.600653)"
3371584301,"G1/285/A-220","yes","POINT(15.955623 50.60067)"
3371584302,"G1/286/E1","yes","POINT(15.955037 50.599903)"
